,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"1-Undecanol","Class1","1475","1.53","48487.393","109.365","Class1","1470","1.325","111573.449","99.675","Class1","1475","1.535","24493.514","65.330","Class1","1475","1.54","51149.797","102.261","Class1","1475","1.54","43057.955","81.047","Class1","1475","1.535","60609.094","133.744",
"Dodecane, 1-chloro-","Class1","1475","1.465","49425.102","149.958","Class1","1475","1.465","223456.284","322.944","Class1","1475","1.465","56428.220","151.791","Class1","1475","1.465","91004.208","176.995","Class1","1475","1.465","157261.463","430.429","Class1","1475","1.465","367299.683","941.454",
"2,6-Diisopropylnaphthalene","Class1","1485","1.98","11546.957","141.047","Class1","1485","1.97","120030.184","1219.576","Class1","1485","1.98","4398.859","48.498","Class1","1485","1.97","8916.532","95.271","Class1","1485","1.97","5977.497","73.875","Class1","1485","1.975","5049.945","57.747",
"Naphthalene, 1,2,3-trimethyl-4-propenyl-, (E)-","Class1","1485","2.155","30879.840","354.803","Class1","1485","2.16","542289.889","5396.565","Class1","1485","2.165","15048.176","161.127","Class1","1485","2.165","34066.035","382.344","Class1","1485","2.165","15000.670","159.772","Class1","1485","2.165","12461.875","145.168",
"Pentadecane","Class1","1490","1.295","2091199.37","2203.100","Class1","1485","1.325","7289128.68","865.465","Class1","1490","1.295","580078.042","985.659","Class1","1490","1.3","1238149.43","669.813","Class1","1490","1.295","1813020.80","1848.562","Class1","1490","1.3","619646.057","548.389",
"methyl decyl ketone","Class1","1490","1.55","157599.545","411.851","Class1","1490","1.555","202700.399","243.976","Class1","1490","1.56","96218.593","176.902","Class1","1490","1.56","135318.658","216.912","Class1","1490","1.555","170806.002","313.036","Class1","1490","1.56","193408.961","399.182",
"docosane","Class1","1500","1.29","325849.675","537.827","Class1","1500","1.315","1371090.89","608.695","Class1","1500","1.28","94539.370","100.128","Class1","1500","1.295","125910.558","169.909","Class1","1500","1.285","264084.345","353.892","Class1","1500","1.295","103081.030","115.532",
"1-Hexene, 3-methyl-6-phenyl-4-(1-phenylethoxy)-","Class1","1500","1.585","99048.159","213.465","Class1","1500","1.59","233499.657","328.519","Class1","1500","1.59","25043.960","69.521","Class1","1500","1.59","67790.681","118.593","Class1","1500","1.59","32640.183","84.698","Class1","1500","1.59","18905.643","64.847",
"Benzoic acid, 2-ethylhexyl ester","Class1","1505","1.82","112957.855","292.556","Class1","1505","1.825","496420.343","655.327","Class1","1505","1.83","37817.414","97.820","Class1","1505","1.83","183280.495","367.975","Class1","1505","1.83","109064.781","261.556","Class1","1505","1.83","67289.969","192.678",
"1,1'-Biphenyl, 2,2'-diethyl-","Class1","1510","2.05","19563.226","185.308","Class1","1510","2.055","396763.620","3203.149","Class1","1510","2.055","6546.429","64.922","Class1","1510","2.06","89801.469","825.719","Class1","1510","2.065","12843.486","130.501","Class1","1510","2.05","9985.831","110.204",
"64822","Class1","1520","1.04","195747.735","889.340","Class1","1520","1.045","145359.442","264.146","Class1","1520","1.04","398270.367","1702.808","Class1","1520","1.045","90596.468","299.507","Class1","1520","1.045","67224.913","266.661","Class1","1520","1.04","127947.239","473.945",
"Benzene, (1-pentylheptyl)-","Class1","1520","1.545","107422.889","176.373","Class1","1520","1.55","540222.105","418.825","Class1","1520","1.54","37881.291","100.691","Class1","1520","1.545","149532.311","212.637","Class1","1520","1.545","46727.559","120.337","Class1","1520","1.545","71424.120","135.496",
"45997","Class1","1520","2.095","49263.400","562.491","Class1","1520","2.105","2126702.82","23556.119","Class1","1520","2.1","28335.629","351.497","Class1","1520","2.105","246569.571","2852.721","Class1","1520","2.095","36587.869","463.579","Class1","1520","2.1","30506.937","399.066",
"docosane","Class1","1525","1.295","628877.603","546.665","Class1","1535","1.325","272220.814","455.656","Class1","1530","1.29","59137.188","102.009","Class1","1530","1.295","272910.991","164.695","Class1","1525","1.29","395141.398","313.530","Class1","1530","1.29","38160.920","131.490",
"Tetradecanoic acid","Class1","1540","1.585","589012.819","3610.986","Class1","1540","1.6","738093.929","1610.498","Class1","1540","1.6","460205.111","2082.684","Class1","1540","1.6","542549.662","2016.415","Class1","1540","1.6","834520.353","3592.081","Class1","1540","1.6","1674184.84","7709.927",
"Cyclohexane, (4-methylpentyl)-","Class1","1540","1.42","317237.850","621.114","Class1","1545","1.415","275702.352","211.313","Class1","1540","1.425","35954.255","61.512","Class1","1545","1.42","65115.846","90.051","Class1","1545","1.42","222977.540","457.272","Class1","1545","1.42","55165.789","88.345",
"Analyte 1823","Class1","1545","2.28","44831.593","156.947","Class1","1545","2.32","184005.432","430.257","Class1","1545","2.335","11913.722","43.917","Class1","1545","2.325","28736.600","78.590","Class1","1545","2.33","19182.026","70.298","Class1","1545","2.325","13542.729","54.615",
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","Class1","1555","2.02","20672.597","227.425","Class1","1555","2.06","55106.619","513.681","Class1","1555","2.06","8401.520","86.627","Class1","1555","2.06","353823.511","2976.554","Class1","1555","2.06","184846.906","1718.096","Class1","1555","2.055","167643.046","1502.357",
"docosane","Class1","1570","1.295","886041.285","1601.069","Class1","1570","1.31","535956.545","414.934","Class1","1570","1.305","579325.639","829.204","Class1","1570","1.31","435159.432","584.743","Class1","1570","1.305","953285.051","1168.062","Class1","1570","1.305","400416.519","494.088",
"Phenanthrene","Class1","1570","2.695","147257.038","644.653","Class1","1570","2.75","119901.352","363.716","Class1","1570","2.78","61159.538","138.924","Class1","1575","2.72","102882.585","295.942","Class1","1570","2.755","155087.232","450.117","Class1","1570","2.765","83960.922","278.385",
"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis-","Class1","1575","2.155","18790.007","78.772","Class1","1575","2.175","172070.702","564.558","Class1","1575","2.18","13780.565","60.873","Class1","1575","2.18","30887.147","123.524","Class1","1575","2.18","16970.433","80.426","Class1","1575","2.175","15836.775","80.619",
"hexadecanoic acid","Class1","1615","1.6","156882.887","556.287","Class1","1615","1.62","142635.449","174.054","Class1","1615","1.63","119985.134","310.307","Class1","1615","1.635","111084.086","212.630","Class1","1615","1.63","167350.023","340.421","Class1","1615","1.62","374280.856","1047.109",
"Phthalic acid, hex-3-yl isobutyl ester","Class1","1630","2.095","272878.566","1657.019","Class1","1630","2.12","314564.157","1526.329","Class1","1630","2.125","111678.925","601.799","Class1","1630","2.125","384389.859","1826.808","Class1","1630","2.125","349688.192","1864.198","Class1","1630","2.125","148493.507","815.413",
"64822","Class1","1640","1.035","307718.949","1542.646","Class1","1640","1.045","194818.666","334.829","Class1","1640","1.04","543999.731","2351.039","Class1","1640","1.04","228548.807","764.573","Class1","1640","1.04","149842.901","631.517","Class1","1640","1.04","609233.271","2395.972",
"hexadecanoic acid","Class1","1690","1.615","4286275.67","17300.027","Class1","1695","1.64","12059050.6","12638.905","Class1","1690","1.635","6752253.24","25433.766","Class1","1690","1.635","5474144.91","16898.176","Class1","1690","1.63","6537593.42","22006.941","Class1","1695","1.635","21939227.9","42162.066",
"Dibutyl phthalate","Class1","1700","2.155","1006119.80","5022.680","Class1","1700","2.19","1280870.58","4459.411","Class1","1700","2.19","1276069.17","5189.838","Class1","1700","2.195","1874181.63","6290.004","Class1","1700","2.19","1965131.59","7081.637","Class1","1700","2.19","2091204.48","8049.516",
"64822","Class1","1745","1.045","233803.083","1400.984","Class1","1745","1.045","159738.822","430.274","Class1","1745","1.045","295627.442","1573.017","Class1","1745","1.045","225759.772","932.453","Class1","1745","1.045","139835.671","637.303","Class1","1745","1.045","593124.872","2545.374",
"74341","Class1","1785","0.035","136581.951","344.297","Class1","1785","4.935","805874.219","1398.742","Class1","1785","4.935","1716549.24","2705.756","Class1","1785","4.985","11744089.2","21866.186","Class1","1785","4.925","6245872.07","8578.200","Class1","1785","4.935","2726040.75","5532.717",
"octadecanoic acid","Class1","1830","1.625","1546230.93","7128.193","Class1","1830","1.645","4532514.88","7729.559","Class1","1830","1.63","2984227.74","10986.328","Class1","1830","1.63","1903200.00","6077.292","Class1","1830","1.625","2306171.59","8215.149","Class1","1830","1.655","10443109.6","33218.258",
"64822","Class1","1845","1.05","166087.957","1238.478","Class1","1845","1.05","162861.146","494.539","Class1","1845","1.05","186948.577","1184.132","Class1","1845","1.05","157431.771","756.717","Class1","1845","1.045","88544.800","491.309","Class1","1845","1.045","380307.275","2062.841",
"Nonanamide","Class1","1845","2","106577.984","421.521","Class1","1845","1.985","459784.813","724.544","Class1","1845","1.995","275708.608","856.527","Class1","1845","1.99","310045.186","815.803","Class1","1845","1.995","239142.378","669.012","Class1","1845","1.98","678275.145","2621.408",
"56005","Class1","1860","2.29","377116.937","224.756","Class1","1860","2.29","426933.074","173.398","Class1","1860","2.29","764972.178","444.455","Class1","1860","2.295","1520206.51","605.095","Class1","1860","2.29","871815.756","535.950","Class1","1860","2.295","1043227.22","461.139",
"hexacosane","Class1","1915","1.365","416060.310","479.015","Class1","1915","1.365","279077.336","171.208","Class1","1915","1.365","119153.455","143.626","Class1","1915","1.37","388245.108","336.625","Class1","1915","1.365","510202.283","613.732","Class1","1915","1.365","1640563.26","1019.284",
"64822","Class1","1935","1.055","116027.244","515.162","Class1","1935","1.05","116638.357","260.756","Class1","1940","1.045","140572.844","610.749","Class1","1940","1.05","151900.388","516.296","Class1","1940","1.05","59831.237","205.713","Class1","1940","1.045","269860.184","1083.655",
"56003","Class1","1945","4.685","238928.599","452.211","Class1","1945","4.69","266328.686","395.638","Class1","1945","4.68","986121.949","999.586","Class1","1945","4.67","831375.189","867.763","Class1","1945","4.67","344413.613","688.753","Class1","1945","4.685","891992.012","984.202",
"45494","Class1","1960","2.085","398005.631","1399.084","Class1","1960","2.08","1051950.22","1624.854","Class1","1960","2.085","868295.536","2787.909","Class1","1960","2.08","1313939.84","3680.691","Class1","1960","2.08","838341.192","2326.606","Class1","1960","2.08","1912677.87","6782.586",
"docosane","Class1","1975","1.395","531707.766","575.885","Class1","1975","1.395","274320.711","288.010","Class1","1975","1.395","202170.759","279.651","Class1","1975","1.395","563637.520","655.690","Class1","1975","1.39","736601.905","844.478","Class1","1975","1.39","1096755.61","1517.504",
"Dodecanamide","Class1","1975","2.015","176876.182","863.451","Class1","1975","2.005","624459.404","983.314","Class1","1975","2.005","572739.117","2046.469","Class1","1975","2.01","471345.144","1628.023","Class1","1975","2.01","333570.042","1256.040","Class1","1975","2.005","966015.596","2873.435",
"heptacosane","Class1","1985","2","318710.213","192.922","Class1","1985","2.005","418697.284","190.851","Class1","1990","2","783941.809","476.599","Class1","1990","2","1225818.55","631.796","Class1","1990","2","542754.649","598.604","Class1","1990","2","1016921.10","687.375",
"Cyclotrisiloxane, hexamethyl-","Class1","1995","0.73","96602.923","2679.227","Class1","1995","0.73","726696.093","3311.942","Class1","1995","0.725","704079.241","5576.120","Class1","1995","0.73","4154739.60","4830.067","Class1","1995","0.73","4391108.52","5537.071","Class1","1995","0.73","4670028.07","5975.686",
"Analyte 2046","Class1","2000","0.815","15237.417","148.346","Class1","1995","0.785","20795.705","301.628","Class1","2000","0.81","35223.673","375.654","Class1","2000","0.81","23272.438","354.917","Class1","2000","0.81","24533.211","349.877","Class1","2000","0.81","41458.982","428.046",
"47032","Class1","2000","0.75","279030.566","2730.460","Class1","2000","0.75","401202.061","3198.750","Class1","2000","0.75","645948.618","5537.489","Class1","2000","0.755","577945.936","4723.859","Class1","2000","0.755","591888.453","5306.377","Class1","2000","0.755","650438.419","5859.356",
"Cyclotetrasiloxane, octamethyl-","Class1","2000","0.765","56857.243","616.494","Class1","2000","0.765","74973.409","901.960","Class1","2000","0.765","143295.397","1498.518","Class1","2000","0.765","100197.019","1126.366","Class1","2000","0.765","74032.047","1244.984","Class1","2000","0.765","117046.807","1303.508",
"Heptane, 5-ethyl-2,2,3-trimethyl-","Class1","2000","0.775","232909.644","212.254","Class1","2000","0.775","590528.860","215.834","Class1","2000","0.785","171623.218","389.439","Class1","2000","0.78","1592790.19","882.578","Class1","2000","0.775","882008.280","609.080","Class1","2000","0.78","1010427.10","726.362",
"Analyte 2049","Class1","2000","1.075","15804.265","252.877","Class1","2000","1.075","17364.804","390.792","Class1","2000","1.075","35002.325","481.602","Class1","2000","1.075","37266.053","532.347","Class1","2000","1.075","38569.554","562.001","Class1","2000","1.075","44367.080","582.490",
"Isoflurane","Class1","2000","0.73","2276742.41","15374.313","Class1","2000","0.73","800410.901","4743.650","Class1","2000","0.73","4158671.11","25746.352","Class1","2005","0.73","5121479.13","21427.297","Class1","2000","0.73","6343565.13","30630.676","Class1","2000","0.735","6746664.82","32827.227",
"Cyclotetrasiloxane, octamethyl-","Class1","2015","0.765","12220.088","409.960","Class1","2015","0.765","19973.232","616.568","Class1","2015","0.765","40344.875","1046.166","Class1","2015","0.77","32643.214","823.020","Class1","2010","0.765","63661.442","941.417","Class1","2015","0.765","31620.240","916.778",
"47032","Class1","2015","0.755","72495.497","2021.157","Class1","2015","0.755","109930.747","2379.715","Class1","2015","0.755","178839.414","4095.748","Class1","2015","0.755","157307.411","3572.672","Class1","2015","0.755","159400.159","3836.983","Class1","2015","0.755","176045.615","4236.952",
"51180","Class1","2020","0.825","3910.991","90.758","Class1","2015","0.815","7111.731","183.837","Class1","2015","0.815","9222.810","234.262","Class1","2020","0.825","7843.554","212.982","Class1","2020","0.825","7759.589","215.810","Class1","2020","0.82","9511.827","248.066",
"Isoflurane","Class1","2020","0.74","749069.225","14500.073","Class1","2020","0.74","258556.018","4362.938","Class1","2020","0.735","1359141.43","23960.000","Class1","2020","0.74","1259415.35","21559.398","Class1","2020","0.74","1557312.87","29531.605","Class1","2020","0.74","1670579.91","31862.725",
"47032","Class1","2020","0.76","67359.087","1879.681","Class1","2020","0.76","97395.471","2171.392","Class1","2020","0.76","154096.487","3582.394","Class1","2020","0.76","140541.953","3148.298","Class1","2020","0.76","141785.411","3465.964","Class1","2020","0.76","155902.753","3822.256",
"Isoflurane","Class1","2025","0.75","744481.865","14064.285","Class1","2025","0.745","252921.878","4196.378","Class1","2025","0.75","1329267.08","23187.574","Class1","2025","0.75","1249796.46","21173.502","Class1","2025","0.75","1546437.69","29318.836","Class1","2025","0.75","1653984.15","31134.023",
"Cyclotrisiloxane, hexamethyl-","Class1","2025","0.77","59532.480","1629.031","Class1","2025","0.77","84737.938","1871.979","Class1","2025","0.77","136694.750","3159.423","Class1","2025","0.77","123544.467","2738.065","Class1","2025","0.77","121947.371","2948.095","Class1","2025","0.77","136406.933","3291.360",
"Cyclotetrasiloxane, octamethyl-","Class1","2025","0.785","9601.470","317.486","Class1","2025","0.785","14671.895","454.293","Class1","2025","0.785","26741.624","801.964","Class1","2025","0.785","20838.399","618.438","Class1","2025","0.785","21163.132","618.604","Class1","2025","0.785","28112.809","711.445",
"Isoflurane","Class1","2030","0.76","736245.538","14142.706","Class1","2030","0.76","250940.527","4251.228","Class1","2030","0.76","1298877.45","23070.580","Class1","2030","0.76","1233944.18","20833.127","Class1","2030","0.76","1520059.21","28724.619","Class1","2030","0.76","1634296.20","30797.865",
"47032","Class1","2030","0.78","50816.903","1387.610","Class1","2030","0.78","73408.604","1571.209","Class1","2030","0.78","117340.963","2630.903","Class1","2030","0.785","108648.374","2385.711","Class1","2030","0.78","107904.445","2536.903","Class1","2030","0.78","119365.288","2827.942",
"Isoflurane","Class1","2035","0.77","748999.749","14304.711","Class1","2035","0.77","242849.921","4090.642","Class1","2035","0.77","1256213.07","22058.248","Class1","2035","0.77","1204425.13","19617.975","Class1","2035","0.77","1507660.77","27553.980","Class1","2035","0.77","1601188.10","29568.408",
"Cyclotrisiloxane, hexamethyl-","Class1","2035","0.795","44739.774","1248.197","Class1","2035","0.795","64337.034","1392.275","Class1","2035","0.795","100943.540","2295.039","Class1","2035","0.795","91925.754","2031.687","Class1","2035","0.795","92925.434","2217.793","Class1","2035","0.795","103742.211","2472.584",
